key,valeur
collect_ordering,collection ordre
collect_img,collection de photos
collect_search,Recherche Collection
collect_add,Ajouter Collection
collect_edit,Modifier la collection
success_collect_edit,Collection a été mis à jour avec succès
success_collect_add,Collection a été ajouté avec succès
success_collect_delete,Collection a été supprimé
err_collect_name,S'il vous plaît fournir le nom Collection
err_collect_len,La longueur de la collection Le nom doit être supérieure à 4
err_collect_exist,Nom de la collection est déjà existé dans le système
delete_collect_label,Supprimer la collection?
collect_delete_confirm_message,Êtes-vous sûr de vouloir supprimer cette collection?
collect_yes_all_message,Oui Tout - Collection et articles effacera du système.
collect_no_only_message,Seulement Collection - Seule Collection supprimera du système.
collect_yes_all_label,Oui tout
collect_no_only_label,Collection seulement
please_select_product,Choisissez un Aliments
api_info,Réglage api
api_order_by,Commandé par
api_count,api Count
success_api_edit,Réglage de l'API a été mis à jour avec succès
comm_user,Utilisateurs
comm_desc,Description Commentaire
comm_date,Date
write_reply,Ecrire une réponse de commentaire
btn_reply,Répondre
reply_cmt,commentaire Répondre
comm_search,Chercher
comment_header,commentaires
date,Date
reply,Répondre
like_product_name,Nom du Aliments
like_user_name,Nom d'utilisateur
fav_product_name,Nom du Aliments
fav_user_name,Nom d'utilisateur
trans_total_amount,Montant total
trans_discount_amount,Montant de la remise
trans_balance_amount,Montant du solde
trans_billing_address,Adresse de facturation
trans_delivery_address,Adresse de livraison
btn_update,Mise à jour
trans_search,Transactions de recherche
btn_update,Mise à jour
Prd_qty,Quantité
Prd_dis,Remise(%)
Prd_amt,Montant
Prd_dis_price,Prix ​​bas
trans_status,Transactions Statut:
success_trans_edit,Transactions Statut a été mis à jour avec succès
Prd_name,Nom du Aliments
Prd_price,Prix ​​du Aliments
popular_cat_name,Nom de la catégorie populaire
popular_cat_img,Catégorie populaires Photo
view,Vue
popular_cat_search,Rechercher Catégorie populaire
popular_cat_view,Catégorie les plus populaires
popular_cat_info,Informations Catégorie populaires
popular_cat_icon,Catégorie populaires Icône
popular_prd_name,Populaire Nom du Aliments
popular_prd_code,Code Aliments populaire
popular_prd_price,Populaire Prix Aliments
popular_prd_search,Recherche populaire Aliments
popular_prd_view,Les plus populaires Aliments
popular_prd_info,Populaire Information sur le Aliments
popular_subcat_name,Populaire Sous Nom de la catégorie
popular_prd_desc,Populaire Description du Aliments
popular_prd_keyword,Mots-clés populaires Aliments
popular_prd_highlight,Populaire Faits saillants du Aliments
purchased_cat_name,Acheté Nom de la catégorie
purchased_cat_img,Acheté Catégorie photo
purchased_cat_view,Les plus achetés Catégorie
purchased_cat_info,Acheté Information Catégorie
purchased_cat_icon,Acheté Icône de catégorie
purchased_cat_search,Rechercher Catégorie achetée
purchased_prd_name,Nom du Aliments acheté
purchased_prd_code,Code Aliments acheté
purchased_prd_price,Prix ​​de Aliments achetés
purchased_prd_view,La plupart Aliments acheté
purchased_prd_search,Recherche Aliments acheté
purchased_subcat_name,Sous acheté Nom de la catégorie
purchased_prd_desc,Acheté Description du Aliments
purchased_prd_keyword,Mots-clés achetés ce Aliments
purchased_prd_info,Acheté Information Aliments
purchased_prd_highlight,Acheté Faits saillants du Aliments
total_revenue,Transactions mensuelles
performance_label,Statistiques
comment_label,Commentaire
prd_label,Alimentss Nombre
cat_label,Catégories Nombre
subcat_label,Sous-comte
dis_label,Remise
collect_label,Collection
view_all_label,Voir tout
transaction_table,Tableau transaction
name_label,Nom
description_label,La description
phone_label,Téléphone 1 (par défaut)
contact_email_label,Email du contact
shop_cover_photo_label,Boutique Cover Photos
shop_image_recommended_size,(Taille recommandée: 600 × 400)
find_location_label,Entrez et trouver l'emplacement de l'API Google
shop_lat_label,Latitude
shop_lng_label,Longitude
success_shop_add,Shop a été ajouté avec succès
success_shop_edit,Shop a été mis à jour avec succès
delete_shop_label,Supprimer Shop?
shop_info,magasin d'information
delete_shop_confirm_message,Etes-vous sûr de vouloir supprimer la boutique car il supprimer?
phone_label2,téléphone 2
phone_label3,téléphone 3
address_label1,Adresse 1
address_label2,Adresse 2
address_label3,adresse 3
shop_icon_photo_label,Boutique Photos Icône
shop_image_recommended_size_icon,(Taille recommandée: 256 × 256)
about_mess_label,Messager
about_chart_section,chat information
stripe_label,[Option 1]: Paiement à rayures
stripe_publishable_key,publiable clé
stripe_secret_key,Clef secrète
stripe_enable_label,Est-il activé paiement Stripe?
stripe_enable_label,Est-il activé paiement Stripe?
paypal_label,[Option 2]: Paiement avec Paypal activé
paypal_env_label,Paypal Environnement
paypal_merchant_label,Paypal ID Merchant
paypal_pub_label,Paypal clé publique
paypal_pri_label,Paypal clé privée
paypal_enabled_label,Paypal est activé?
bank_transfer_label,[Option 3]: Paiement par Virement bancaire
bank_account_label,Compte bancaire
bank_name_label,Nom de banque
bank_code_label,Code bancaire
branch_code_label,code de la Direction générale
swift_code_label,Code rapide
bank_enable_label,Est activé Virement bancaire?
cod_label,[Option 4]: Paiement avec paiement à la livraison
cod_email_label,E-mail de confirmation COD
cod_enable_label,Est activé Paiement à la livraison?
currency_symbol_label,Symbole monétaire (par exemple; $)
currency_form_label,Formulaire monétaire court (par exemple; USD)
sender_email_label,Sender compte de messagerie (SMTP)
btn_add_new,Ajouter les nouveaux utilisateurs
user_name,Nom d'utilisateur
user_edit,Modifier l'utilisateur
user_info,informations de l'utilisateur
user_add,Ajouter des utilisateurs
role_label,Rôle d'utilisateur
conf_password,Confirmez le mot de passe
select_shop_label,"Si l'utilisateur est « Boutique Admin », s'il vous plaît sélectionner « Shop » pour assign"
contact_name,Nom du contact
contact_email,Email du contact
success_contacts_delete,Le contact a été supprimé
delete_contact_label,Supprimer des contacts?
contact_delete_confirm_message,Etes-vous sûr de supprimer ce Contacts?
contact_info_label,Coordonnées Détail
contact_phone,Contact Téléphone
about_contact_label,A propos de Contact Message
lbl_view,Vue
back_button,Retour
contact_receive_message,Vous avez reçu un nouveau message de contact nous.
rating_product_name,Nom du Aliments
rating_user_name,Nom d'utilisateur
rating_value,Note Valeur
rating_title,Titre
pending_count,Commande en cours
delivery_count,Bon de livraison
completed_count,commande terminée
order_count,total de la commande
shipping_method_label,Sélectionnez le mode de livraison par défaut
shipping_method,Par défaut Mode de livraison
shop_tags,boutique Mots-clés
overall_tax_label,Fiscale globale (de%)
shipping_tax_label,Expédition Taxes (%)
whapsapp_no_label,WhatsApp Nombre
refund_policy_label,Politique de remboursement
privacy_policy_label,Politique de confidentialité
privacypolicy,termes et conditions
app_info_lable,A propos de l'information
about_title_label,A propos de Titre
description_label,description À propos
about_email_label,A propos Email
about_phone_label,A propos du téléphone
about_website_label,À propos du site Lien
about_seo_section,Informations SEO
about_seo_title_label,Titre SEO
about_seo_desc_label,description de SEO
about_seo_keywords_label,Mots-clés SEO
about_social_section,Informations sociales
about_facebook_label,Facebook
about_gplus_label,Google+
about_instagram_label,Instagram
about_youtube_label,Youtube
about_pinterest_label,Pinterest
about_twitter_label,Twitter
about_color_section,À propos du site Thème Couleur
about_theme,Thèmes disponibles
success_about_edit,À propos est mis à jour avec succès
about_ads_analyt,Google Analytics et annonces Réglage
about_ads_client,annonces client
about_ads_slot,annonces Logement
about_analyt_track_id,Analytique Track ID
about_ads_on,Activer Google Adsense
about_analyt_on,Activer Google Analytics
about_img,A propos Photo de couverture
about_nav_icon,Icône de navigation
about_fav_icon,Icône fav
about_backend_icon,pour Backend
total_label,Total :
device_label,Dispositif
devices_label,Dispositifs
registered_label,a été enregistré pour la notification Push
noti_info,Notification push
noti_message_label,Message
noti_message_tooltips,S'il vous plaît fournir le messsage de notification push.
noti_send_btn,Envoyer une notification Push
sorry_no_device,"Désolé, il n'y a pas de périphérique enregistré pour la notification Push."
select_cat,Choisir une catégorie
success_noti_add,La notification a été ajouté avec succès
success_noti_delete,La notification a été supprimé
delete_noti_label,Supprimer la notification?
noti_yes_message,La notification oui- supprimera du système.
push_message,message Push
noti_des_label,La description
noti_img,notification photo
coupon_code_message,Code du coupon doit être d'au moins 4. Par exemple; ACE1
coupon_amount_message,"Le montant de la remise du coupon doit être comme 10, 20, 30 .. Ce n'est pas un pourcentage."
coupon_add,Ajouter coupon
coupon_info,Informations Coupon
coupon_name,Nom de coupon
coupon_code,Code du coupon
coupon_amount,Montant du coupon
coupon_edit,Modifier le coupon
coupon_search,Recherche Coupon
success_coupon_add,Coupon a été ajouté avec succès
success_coupon_edit,Coupon a été mis à jour avec succès
success_coupon_delete,Coupon a été supprimé
delete_coupon_label,Coupon de suppression?
coupon_delete_confirm_message,Etes-vous sûr de supprimer ce coupon?
err_coupon_name,S'il vous plaît fournir le nom de coupon
err_coupon_len,La longueur du nom de coupon doit être supérieur à 4
err_coupon_exist,Nom du coupon est déjà existé dans le système
shipping_name,Nom pour la livraison
shipping_price,Prix
shipping_days,Journées
shipping_add,Ajouter Méthode d'expédition
shipping_edit,Modifier Méthode d'expédition
shipping_search,Rechercher Mode de livraison
shipping_info,Informations sur la livraison Méthode
success_shipping_add,Méthode d'expédition a été ajouté avec succès
success_shipping_edit,Méthode d'expédition a été mis à jour avec succès
success_shipping_delete,Méthode d'expédition a été supprimé
err_shipping_name,S'il vous plaît fournir l'expédition nom de la méthode
err_shipping_len,La longueur de la marine marchande Nom de la méthode doit être supérieure à 4
err_shipping_exist,Méthode d'expédition Nom est existe déjà dans le système
delete_shipping_label,Supprimer Méthode d'expédition?
shipping_delete_confirm_message,Etes-vous sûr de supprimer cette méthode d'expédition?
tag_name,Nom de la balise
tag_img,Marquer la photo
tag_add,Ajouter une étiquette
tag_search,Recherche Tag
tag_info,Informations sur le tag
tag_icon,tag Icône
err_tag_name,S'il vous plaît fournir le nom de l'étiquette
err_tag_len,La longueur de la balise nom doit être supérieure à 4
err_tag_exist,Nom de la balise est déjà existé dans le système
success_tag_add,Tag a été ajouté avec succès
success_tag_edit,Tag a été mis à jour avec succès
success_tag_delete,Tag a été supprimé
delete_tag_label,Supprimer Tag?
tag_delete_confirm_message,Etes-vous sûr de supprimer cette balise?
btn_version,Version
ver_info,Information sur la version
ver_no_label,version Non
ver_msg_label,version message
ver_title_label,version Titre
ver_force_update,Version mise à jour de travail?
ver_need_data,Version Besoin Effacer les données?
success_version_add,Version a été ajouté avec succès
success_version_edit,Version a été mis à jour avec succès
paypal_transaction_failed,"Désolé, Paypal Transaction est échoué."
stripe_transaction_failed,"Désolé, Stripe transaction échoue."
err_user_not_exist,"Désolé, les informations d'identification de connexion de l'utilisateur sont erronées"
no_record,No More enregistrement
delete_register_user_label,Supprimer un utilisateur enregistré?
register_user_delete_confirm_message,Etes-vous sûr de supprimer cet utilisateur enregistré?
success_registered_user_delete,L'utilisateur enregistré a été supprimé
success_user_delete,L'utilisateur a été supprimé
user_ban,Ban utilisateur
user_ban_label,Interdire
user_unban,unban
err_user_banned,"Désolé, vous ne pouvez pas vous connecter parce que votre compte est interdit."
no_record,Plus d'enregistrement
invalid_api_key,API clé est invalide
apikey_info,Api Informations clés
key_label,Clé
success_apikey_edit,Api clé est mis à jour avec succès
success_apikey_add,Api clé est ajouté avec succès
err_user_email_exist,Email L'utilisateur est déjà exister
trans_payment_method,Mode de paiement :
trans_memo,Note :
trans_item_sub_total,Point Sous-total:
trans_coupon_discount_amount,Coupon Montant (-):
trans_overall_tax,fiscale globale
trans_shipping_cost,Frais de transport (à l'aide
trans_shipping_tax,Expédition Taxes
trans_total_balance_amount,Total Solde Montant:
order_desc,Ordre de PS-Store:
err_email_not_send_to_shop,"Désolé, envoyez un courriel ne peut pas envoyer le propriétaire du magasin."
err_email_not_send_to_user,"Désolé, envoyez un courriel pas en mesure d'envoyer le client."
order_receive_subject,Nouvel ordre a été reçu
order_status_subject,état de la commande de la commande a été modifiée pour
country_name,Nom du pays
country_add,Ajouter Pays
country_search,Recherche Pays
country_edit,Modifier Pays
country_info,Informations pays
success_country_add,Le pays a été ajouté avec succès
success_country_edit,Le pays a été mis à jour avec succès
success_country_delete,Pays a été supprimé
delete_country_label,Supprimer Pays?
country_yes_all_message,"Quand supprimer ce pays, il supprimera toutes les villes et les zones connexes aussi. Alors, voulez-vous toujours de le supprimer?"
err_country_name,S'il vous plaît fournir le nom du pays
err_country_len,La longueur du nom du pays doit être supérieur à 4
err_country_exist,Pays Nom est déjà existé dans le système
city_name,Nom de Ville
city_add,Ajouter Ville
select_country,Sélectionnez Nom Pays
city_search,Recherche Ville
city_edit,Modifier la ville
city_info,ville information
success_city_add,Ville a été ajouté avec succès
success_city_edit,City a été mis à jour avec succès
success_city_delete,Ville a été supprimé
delete_city_label,Supprimer la ville?
city_delete_confirm_message,Etes-vous sûr de supprimer cette ville?
err_city_name,S'il vous plaît fournir le nom de la ville
err_city_len,La longueur de la ville Nom doit être supérieure à 4
err_city_exist,Nom de la ville est déjà existé dans le système
f_item_country_required,Veuillez sélectionner Nom Pays
zone_name,Nom de la zone
zone_search,Rechercher Zone
zone_add,Ajouter une zone
zone_edit,Modifier Zone
zone_info,zone d'information
select_city,Sélectionnez Nom Ville (Multiple Select)
success_zone_add,Zone a été ajouté avec succès
success_zone_edit,Zone a été mis à jour
success_zone_delete,Zone a été supprimé
delete_zone_label,Supprimer la zone?
zone_delete_confirm_message,Etes-vous sûr de supprimer cette zone?
err_zone_name,S'il vous plaît fournir le nom de zone
err_zone_len,La longueur de la zone Nom doit être supérieure à 4
err_zone_exist,Nom de la zone est déjà existé dans le système
f_item_city_required,Veuillez sélectionner Nom Ville
select_zone,Sélectionnez zones
shipping_zone_add,Ajouter Expédition Avec Zone
shipping_zone_edit,Modifier Expédition Avec Zone
shipping_zone_search,Rechercher Livraison avec Zone
shipping_zone_info,Avec expédition Zone d'information
success_shipping_zone_add,Avec la livraison Zone a été ajouté avec succès
success_shipping_zone_edit,Avec la livraison Zone a été mis à jour avec succès
success_shipping_zone_delete,Avec la livraison Zone a été supprimé
delete_shipping_zone_label,Supprimer Expédition Avec Zone?
shipping_zone_delete_confirm_message,Êtes-vous sûr de vouloir supprimer cette expédition avec la zone?
f_item_zone_required,Veuillez sélectionner Nom de la zone
shipping_package_name,Nom d'expédition Paquet
need_to_enable_zone_shipping,S'il vous plaît permettre l'expédition de la zone à réglage expédition.
dup_zone_name,Nom de la zone est déjà existé
you_selected,Vous avez sélectionné
per_order_based,Par ordre Basées
cost,Coût
per_item_based,Par article base
delivery_increment_of_zone,Livraison Increment de la zone
based_cost,Coût Sur la base
take_prd_shipping_cost,Extrais Aliments Frais de port
free_shipping,Livraison gratuite
zone_from_other_package,Zone est déjà sélectionné dans un autre emballage.
increment_formula,Formule: (Coût d'expédition du Aliments) x (Valeur incrémentielle) x (QTÉ)
increment_note,Note: Nécessité de défaut de réglage est 1.
cat_module,Catégories
contact_module,Contactez-nous un message
system_user_module,Les utilisateurs du système
export_database_module,Base de données d'exportation
subcat_module,Sous-catégories
discount_module,Réductions
blog_module,Les blogs
product_module,Des Alimentss
collection_module,collections
noti_module,N'est pas
version_module,Version
comments_module,commentaires
like_module,Aime
favourites_module,Favoris
transaction_module,Transactions
popular_prd_module,La plupart des Alimentss populaires
purchase_prd_module,La plupart des Alimentss d'achat
popular_cat_module,Catégories les plus populaires
purchase_cat_module,La plupart des catégories d'achat
rate_prd_module,La plupart évalués
coupon_dis_module,Réductions Coupon
shipping_module,Mode de livraison
app_module,À propos App
shop_module,À propos de Boutique
register_user_module,Utilisateurs enregistrés
api_key_module,api clés
countries_module,Des pays
cities_module,Villes
zone_module,Zone
shipping_zone_module,Expédition avec les zones
language_module,langues
entry_group,Entrée
user_feedback_group,Commentaires des utilisateurs
user_mang_group,Gestion des utilisateurs
reports_group,Rapports
miscellaneous_group,Divers
setting_group,Réglage
second_ago,seconde
minute_ago,minute
hour_ago,heure
day_ago,journée
week_ago,la semaine
month_ago,mois
year_ago,année
decade_ago,décennie
just_now_label,Juste maintenant
ago_label,depuis
btn_active,actif
lang_string,langue Chaîne
lang_name,Nom de la langue
lang_add,Ajouter une langue
lang_info,langue d'information
lang_symbol,symbole
lang_search,Recherche Langue
lang_edit,Modifier la langue
success_lang_edit,La langue a été mis à jour avec succès
success_lang_add,La langue a été ajouté avec succès
success_lang_delete,La langue a été supprimé
err_lang_name,S'il vous plaît fournir le nom de la langue
err_lang_len,La longueur de la langue Nom doit être supérieur à 4
err_lang_exist,Langue Le nom est déjà existé dans le système
delete_lang_label,Supprimer la langue?
lang_delete_confirm_message,Voulez-vous supprimer toute la chaîne sous cette ensemble linguistique?
lang_yes_all_label,Oui tout
lang_no_only_label,seulement Langue
lang_yes_all_message,Oui Tous - Langue et articles supprimeront du système.
language_id,Langue
lang_string_key,Clé
lang_string_value,Valeur
lang_string_info,Informations sur les chaînes de langue
select_language,Langue sélectionnée
btn_import,Importation
csv_symbol_link,fichier csv Exemple ici
lang_str_search,Recherche Langue Chaîne
success_langstr_import,Langue chaîne avec succès csv téléchargé
lang_str_add,Ajouter une langue Chaîne
lang_str_edit,Modifier la langue Chaîne
lang_deactive,Désactiver
success_lang_str_edit,Langue Chaîne a été mis à jour avec succès
success_lang_str_add,Langue chaîne a été ajouté avec succès
err_lang_str_name,S'il vous plaît fournir le nom de la chaîne de langue
err_lang_str_len,La longueur de la chaîne de langue doit être supérieure à 4
err_lang_str_exist,Langue chaîne est déjà existé dans le système
lang_title,Supprimé Langue?
lang_warning,Vous ne pouvez pas supprimer la langue active.
btn_ok,D'accord
list_lang_label,langues
list_lang_str_label,langue Cordes
err_lang_symbol,S'il vous plaît donner le symbole langue
pls_att_name,S'il vous plaît Nom d'Personnalisé Détail
remove_label,Retirer
btn_no,Non
pls_city_name,Nom de la ville vous plaît
pls_collect_name,Nom Collection vous plaît
pls_dis_percent,S'il vous plaît pour cent de réduction
pls_prd_name,S'il vous plaît Nom du Aliments
pls_highlight_info,S'il vous plaît mettez en surbrillance Information
